id,series,difficulty,tags,question,correct_answer,wrong_1,wrong_2,wrong_3,source_note,review_notes
nar-057,Naruto,medium,,Who does Naruto fight in the first match of the Chunin Exam finals?,Neji,Gaara,Sasuke,Kiba,Chunin Exams arc.,
nar-058,Naruto,medium,,What is the name of the toad boss Naruto summons?,Gamabunta,Gamakichi,Gamatatsu,Fukasaku,Chunin Exams arc.,
nar-059,Naruto,medium,,Tsunade suffers from a crippling fear of...?,Blood,Snakes,Heights,Fire,Search for Tsunade arc.,
nar-060,Naruto,medium,,What does Tsunade bet Naruto that he cannot master the Rasengan in a week?,The First Hokage's necklace,Her title as Hokage,A year's worth of ramen,Her gambling winnings,Search for Tsunade arc.,
nar-061,Naruto,medium,,Which member of the Sound Four fights Shikamaru using a flute?,Tayuya,Kidomaru,Jirobo,Sakon,Sasuke Retrieval arc.,
nar-062,Naruto,medium,,Where do Naruto and Sasuke fight at the end of the original series?,The Valley of the End,The Forest of Death,The Hokage Rock,The Land of Waves bridge,Sasuke Retrieval arc.,
nar-063,Naruto,medium,,Roughly how long does Naruto train with Jiraiya between the original series and Shippuden?,Two and a half years,Six months,Five years,Ten years,Start of Shippuden.,
nar-064,Naruto,medium,,Which Akatsuki pair captures Gaara at the start of Shippuden?,Deidara and Sasori,Itachi and Kisame,Hidan and Kakuzu,Pain and Konan,Kazekage Rescue arc.,
nar-065,Naruto,medium,,Sasori's true body is...?,A puppet,A clay sculpture,A shadow clone,A giant scorpion,Kazekage Rescue arc.,
nar-066,Naruto,medium,,Who defeats Sasori?,Sakura and Lady Chiyo,Naruto and Kakashi,Gaara and Kankuro,Team Guy,Kazekage Rescue arc.,
nar-067,Naruto,medium,,Which immortal Akatsuki member worships the god Jashin?,Hidan,Kakuzu,Zetsu,Deidara,Akatsuki Suppression arc.,
nar-068,Naruto,medium,,Who kills Asuma Sarutobi?,Hidan,Kakuzu,Pain,Itachi,Akatsuki Suppression arc.,
nar-069,Naruto,medium,,How does Shikamaru finally deal with the immortal Hidan?,He blows him up and buries the pieces,He seals him in a scroll,He drowns him,He turns him over to the Anbu,Akatsuki Suppression arc.,
nar-070,Naruto,medium,,"Jiraiya dies fighting whom, and where?","Pain, in the Hidden Rain Village","Orochimaru, in the Hidden Sound","Itachi, in the Hidden Leaf","Tobi, at the Valley of the End",Tale of Jiraiya the Gallant arc.,
nar-071,Naruto,medium,,What is the real name of the man controlling the six bodies of Pain?,Nagato,Yahiko,Obito,Konan,Pain's Assault arc.,
nar-072,Naruto,medium,,"Who is Pain's partner, the Akatsuki member who fights with paper?",Konan,Karin,Kurenai,Mei,Pain's Assault arc.,
nar-073,Naruto,medium,,Who steps in to protect Naruto from Pain and confesses her love for him?,Hinata,Sakura,Ino,Tenten,Pain's Assault arc.,
nar-074,Naruto,medium,,What new Rasengan variant does Naruto perfect to fight Pain?,Wind Style: Rasenshuriken,Giant Rasengan,Planetary Rasengan,Tailed Beast Rasengan,Pain's Assault arc.,
nar-075,Naruto,medium,,Who is appointed acting Hokage after Pain's attack leaves Tsunade in a coma?,Danzo Shimura,Kakashi Hatake,Shikaku Nara,Jiraiya,Five Kage Summit arc.,
nar-076,Naruto,medium,,What is the name of Sasuke's team after he leaves Orochimaru?,Taka,Akatsuki,The Sound Four,Team Kakashi,Itachi Pursuit arc; originally named Hebi.,
nar-077,Naruto,medium,,Why did Itachi really massacre the Uchiha clan?,The Leaf's leadership ordered it to stop a coup,To test his power,Orochimaru controlled him,To steal the clan's Sharingan,Revealed by Tobi after Itachi's death.,
nar-078,Naruto,medium,,Which Tailed Beast is sealed inside Killer Bee?,"Gyuki, the Eight-Tails","Kurama, the Nine-Tails","Isobu, the Three-Tails","Son Goku, the Four-Tails",Five Kage Summit arc.,
nar-079,Naruto,medium,,Who reanimates dead shinobi to fight in the Fourth Shinobi World War?,Kabuto,Orochimaru,Madara,Zetsu,Fourth Shinobi World War.,
nar-080,Naruto,medium,,What is the Nine-Tails' real name?,Kurama,Shukaku,Gyuki,Matatabi,Fourth Shinobi World War.,
nar-081,Naruto,medium,,What was Minato's nickname during the Third Great Ninja War?,The Yellow Flash,The White Fang,The Copy Ninja,The Toad Sage,Kakashi Gaiden.,
nar-082,Naruto,medium,,Who grants Naruto and Sasuke their Six Paths powers?,"Hagoromo, the Sage of Six Paths",Kaguya,Madara,The Fourth Hokage,Fourth Shinobi World War.,
nar-083,Naruto,medium,,Naruto and Sasuke each lose which body part in their final battle?,An arm,An eye,A leg,A hand,Final battle at the Valley of the End.,
nar-084,Naruto,medium,,Which Sound village leader trained Kabuto and later sealed his own arms away by the Third Hokage?,Orochimaru,Kimimaro,Danzo,Zabuza,Invasion of Konoha arc.,
nar-085,Naruto,hard,,Who gave Kakashi his Sharingan?,Obito Uchiha,Itachi Uchiha,Shisui Uchiha,Madara Uchiha,Kakashi Gaiden.,
nar-086,Naruto,hard,,How did Rin Nohara die?,She jumped in front of Kakashi's Chidori,Obito killed her,The Mist executed her,She was crushed by Madara,Revealed in the Fourth Shinobi World War.,
nar-087,Naruto,hard,,What is Madara's plan to trap the entire world in a dream called?,The Infinite Tsukuyomi,The Eye of the Moon,Izanami,Chibaku Tensei,Fourth Shinobi World War.,
nar-088,Naruto,hard,,Who becomes the first jinchuriki of the Ten-Tails during the war?,Obito,Madara,Kaguya,Naruto,Fourth Shinobi World War.,
nar-089,Naruto,hard,,Naruto and Sasuke are reincarnations of which two brothers?,Asura and Indra,Hashirama and Tobirama,Hagoromo and Hamura,Madara and Izuna,Revealed by the Sage of Six Paths.,
nar-090,Naruto,hard,,What kekkei genkai did the First Hokage possess?,Wood Style,Ice Style,Lava Style,Storm Style,Also used by Yamato.,
nar-091,Naruto,hard,,Which Hokage invented the Reanimation Jutsu?,"Tobirama, the Second","Hashirama, the First","Hiruzen, the Third","Minato, the Fourth",Fourth Shinobi World War.,
nar-092,Naruto,hard,,What is the name of the Fourth Raikage?,A,Darui,Killer Bee,Omoi,Five Kage Summit arc.,
nar-093,Naruto,hard,,Who is the Fifth Mizukage?,Mei Terumi,Yagura,Chojuro,Ao,Five Kage Summit arc.,
nar-094,Naruto,hard,,What is the name of Kisame's chakra-eating sword?,Samehada,Kubikiribocho,Hiramekarei,Kabutowari,Search for Tsunade arc.,
nar-095,Naruto,hard,,Which two legendary items does Itachi's Susanoo wield?,The Totsuka Blade and the Yata Mirror,The Kusanagi and the Yasakani Jewel,The Sword of Nunoboko and the Mirror of Amaterasu,The Gunbai and the Kama,Itachi vs Sasuke.,
nar-096,Naruto,hard,,What is the name of Shisui Uchiha's Mangekyo Sharingan ability?,Kotoamatsukami,Kamui,Amaterasu,Izanagi,Five Kage Summit arc.,
nar-097,Naruto,hard,,Which Hidden Cloud jinchuriki of the Two-Tails was killed by Hidan and Kakuzu?,Yugito Nii,Yugao,Fu,Han,Akatsuki Suppression arc.,
nar-098,Naruto,hard,,Which technique lets Danzo rewrite his own death using the Sharingan in his arm?,Izanagi,Izanami,Kotoamatsukami,Kamui,Five Kage Summit arc.,
nar-099,Naruto,hard,,What was Jiraiya's dying message to the Leaf about Pain?,The real one is not among them,Aim for the eyes,He is Yahiko,Pain cannot be defeated,"Tale of Jiraiya the Gallant arc, written on Fukasaku's back.",
nar-100,Naruto,hard,,"Who was Kakashi's father, known as the White Fang of the Leaf?",Sakumo Hatake,Shikaku Nara,Dan Kato,Inoichi Yamanaka,Kakashi Gaiden.,
dbl-001,Dragon Ball,easy,dbz,What is the name of Goku's signature energy wave?,Kamehameha,Galick Gun,Masenko,Final Flash,Learned by watching Master Roshi in the original Dragon Ball.,
dbl-002,Dragon Ball,easy,db,How many Dragon Balls must be gathered to summon Shenron?,Seven,Five,Nine,Three,"Dragon Ball, episode 1.",
dbl-003,Dragon Ball,easy,dbz,Piccolo is a member of which alien race?,Namekian,Saiyan,Frieza's race,Majin,Revealed in the Saiyan Saga.,
dbl-004,Dragon Ball,easy,dbz,What is the name of Goku's eldest son?,Gohan,Goten,Trunks,Bardock,Introduced at the start of Z.,
dbl-005,Dragon Ball,easy,dbz,Who is the Prince of all Saiyans?,Vegeta,Raditz,Nappa,Broly,Saiyan Saga.,
dbl-006,Dragon Ball,easy,dbz,"Piccolo's signature attack, charged with two fingers at his forehead, is the...?",Special Beam Cannon,Spirit Bomb,Destructo Disc,Big Bang Attack,"First used to kill Raditz, and Goku.",
dbl-007,Dragon Ball,easy,dbz,What planet did the Saiyans come from?,Planet Vegeta,Namek,Yardrat,Earth,Saiyan Saga.,
dbl-008,Dragon Ball,easy,db,What is the name of the dragon summoned by Earth's Dragon Balls?,Shenron,Porunga,Super Shenron,Icarus,"Dragon Ball, Emperor Pilaf Saga.",
dbl-009,Dragon Ball,easy,db,"Who is Goku's best friend, a short bald monk?",Krillin,Yamcha,Tien,Chiaotzu,Introduced in the Tournament Saga.,
dbl-010,Dragon Ball,easy,dbz,Which tyrant destroyed Planet Vegeta?,Frieza,Cell,Cooler,Majin Buu,Saiyan and Frieza Sagas.,
dbl-011,Dragon Ball,easy,dbz,What is the name of Vegeta's son who arrives from the future?,Trunks,Goten,Gotenks,Tarble,Trunks Saga.,
dbl-012,Dragon Ball,easy,db,What company does Bulma's family own?,Capsule Corp.,Red Ribbon Industries,Satan Enterprises,Kame House,Dragon Ball.,
dbl-013,Dragon Ball,easy,db,Who is Goku's wife?,Chi-Chi,Bulma,Launch,Videl,Married at the end of the original Dragon Ball.,
dbl-014,Dragon Ball,easy,dbz,Which android was built by Dr. Gero from the cells of the strongest fighters?,Cell,Android 16,Android 19,Android 8,Androids Saga.,
dbl-015,Dragon Ball,easy,dbz,Which transformation turns a Saiyan's hair golden?,Super Saiyan,Great Ape,Kaio-ken,Ultra Instinct,First seen on Namek.,
dbl-016,Dragon Ball,easy,db,What do Saiyans with tails turn into under a full moon?,A Great Ape,A wolf,A dragon,A Super Saiyan,First happens to Goku in Dragon Ball.,
dbl-017,Dragon Ball,easy,db,Who trains Goku and Krillin as children at Kame House?,Master Roshi,Korin,Kami,King Kai,Tournament Saga.,
dbl-018,Dragon Ball,easy,db,What is Goku's flying cloud called?,The Flying Nimbus,The Kinto Cloud,The Sky Carpet,The Power Cloud,Given by Master Roshi in Dragon Ball.,
dbl-019,Dragon Ball,easy,dbz,Which pink creature was sealed away by the wizard Bibidi?,Majin Buu,Dabura,Janemba,Cell,Buu Saga.,
dbl-020,Dragon Ball,easy,db,Which beans instantly restore a fighter's health?,Senzu beans,Zenzu beans,Namek beans,Kami beans,Grown by Korin.,
dbl-021,Dragon Ball,easy,dbz,"Who is Goku's older brother, the first Saiyan to arrive on Earth?",Raditz,Nappa,Vegeta,Turles,"Z, episode 1.",
dbl-022,Dragon Ball,easy,dbz,What is Goku's Saiyan birth name?,Kakarot,Bardock,Tarble,Broly,Revealed by Raditz.,
dbl-023,Dragon Ball,easy,dbz,Which child did Piccolo train alone in the wilderness for a year?,Gohan,Goten,Trunks,Dende,Saiyan Saga.,
dbl-024,Dragon Ball,easy,dbz,What is Vegeta's signature purple energy beam?,Galick Gun,Final Flash,Big Bang Attack,Death Beam,"Saiyan Saga, clashing with Goku's Kamehameha.",
dbl-025,Dragon Ball,easy,dbz,Which technique multiplies Goku's power at great cost to his body?,Kaio-ken,Kamehameha,Fusion,Instant Transmission,Taught by King Kai.,
dbl-026,Dragon Ball,easy,dbz,Goku learns Instant Transmission from the people of which planet?,Yardrat,Namek,Vegeta,Kai's planet,Explained on his return in the Trunks Saga.,
dbl-027,Dragon Ball,easy,dbz,Who sacrifices himself by blocking Nappa's blast to save Gohan?,Piccolo,Krillin,Tien,Yamcha,Saiyan Saga.,
dbl-028,Dragon Ball,easy,dbz,What is Krillin's spinning energy disc attack called?,Destructo Disc,Solar Flare,Tri-Beam,Spirit Ball,Saiyan Saga.,
dbl-029,Dragon Ball,easy,super,Who is the God of Destruction of Universe 7?,Beerus,Whis,Champa,Zeno,Battle of Gods.,
dbl-030,Dragon Ball,easy,super,Who is Beerus's angel attendant and Goku's teacher?,Whis,Vados,The Grand Priest,Supreme Kai,Battle of Gods.,
dbl-031,Dragon Ball,easy,dbz,Which two boys perform the Fusion Dance to become Gotenks?,Goten and Trunks,Goku and Vegeta,Gohan and Trunks,Goten and Gohan,Buu Saga.,
dbl-032,Dragon Ball,easy,super,Who is the last fighter standing for Universe 7 in the Tournament of Power?,Android 17,Goku,Frieza,Vegeta,Universe Survival Saga.,
dbl-033,Dragon Ball,easy,super,What form does Goku first unlock during the Tournament of Power?,Ultra Instinct,Super Saiyan Blue,Super Saiyan God,Super Saiyan 4,Universe Survival Saga.,
dbl-034,Dragon Ball,easy,dbz,Who finally defeats Cell at the Cell Games?,Gohan,Goku,Vegeta,Trunks,Cell Games Saga.,
dbl-035,Dragon Ball,easy,dbz,What is the name of Goku's second son?,Goten,Gohan,Trunks,Uub,Introduced in the Buu Saga.,
dbl-036,Dragon Ball,medium,db,Who is the first person from the outside world that young Goku meets?,Bulma,Krillin,Master Roshi,Yamcha,"Dragon Ball, episode 1.",
dbl-037,Dragon Ball,medium,db,Who ruins Emperor Pilaf's wish by asking Shenron for a pair of panties?,Oolong,Puar,Yamcha,Goku,Emperor Pilaf Saga.,
dbl-038,Dragon Ball,medium,db,"Who raised Goku as a baby, and who is he named after?",Grandpa Gohan,Bardock,Master Roshi,Korin,Dragon Ball; Goku's son is named after him.,
dbl-039,Dragon Ball,medium,db,Mercenary Tao is hired to kill Goku by which organization?,The Red Ribbon Army,The Crane School,The Pilaf Gang,The Demon Clan,Red Ribbon Army Saga.,
dbl-040,Dragon Ball,medium,db,Which Dragon Ball did Goku keep as a memento of his grandfather?,The four-star ball,The one-star ball,The seven-star ball,The two-star ball,"Dragon Ball, episode 1.",
dbl-041,Dragon Ball,medium,db,Piccolo is the reincarnated offspring of which Dragon Ball villain?,King Piccolo,Emperor Pilaf,Mercenary Tao,Commander Red,King Piccolo Saga.,
dbl-042,Dragon Ball,medium,dbz,"In the English dub, Vegeta's scouter famously reads Goku's power level as over...?","9,000","8,000","10,000","1,000","Saiyan Saga; the manga says 8,000, the English anime says 9,000.",
dbl-043,Dragon Ball,medium,dbz,Who trains Goku in Other World before the Saiyans arrive?,King Kai,Kami,Supreme Kai,Grand Kai,Saiyan Saga.,
dbl-044,Dragon Ball,medium,dbz,"What is the name of Namek's dragon, who grants three wishes?",Porunga,Shenron,Super Shenron,Guru,Namek Saga.,
dbl-045,Dragon Ball,medium,dbz,What is the name of Frieza's elite squad?,The Ginyu Force,The Cooler Force,The Frieza Force,The Armored Squadron,Namek Saga.,
dbl-046,Dragon Ball,medium,dbz,Captain Ginyu's signature technique lets him...?,Switch bodies with an opponent,Stop time,Regenerate limbs,Absorb energy,He steals Goku's body on Namek.,
dbl-047,Dragon Ball,medium,dbz,Who does Frieza kill to trigger Goku's first Super Saiyan transformation?,Krillin,Vegeta,Piccolo,Dende,Frieza Saga.,
dbl-048,Dragon Ball,medium,dbz,Who becomes the new Guardian of Earth after Kami fuses with Piccolo?,Dende,Nail,Mr. Popo,Korin,Androids Saga.,
dbl-049,Dragon Ball,medium,dbz,Who does Future Trunks kill moments after arriving on Earth?,Frieza and King Cold,Dr. Gero,Cell,Cooler,Trunks Saga.,
dbl-050,Dragon Ball,medium,dbz,Which android does Krillin eventually marry?,Android 18,Android 17,Android 16,Android 21,Revealed in the Buu Saga.,
dbl-051,Dragon Ball,medium,dbz,Which two androids must Cell absorb to reach his Perfect form?,17 and 18,16 and 17,19 and 20,13 and 14,Imperfect Cell Saga.,
dbl-052,Dragon Ball,medium,dbz,One day outside the Hyperbolic Time Chamber equals how long inside?,One year,One month,One week,Ten years,Perfect Cell Saga.,
dbl-053,Dragon Ball,medium,dbz,What does Cell name the tournament he announces on television?,The Cell Games,The World Martial Arts Tournament,The Tournament of Power,The Cell Cup,Perfect Cell Saga.,
dbl-054,Dragon Ball,medium,dbz,Who takes public credit for defeating Cell?,Hercule,Gohan,Goku,Yamcha,Cell Games Saga; Mr. Satan in the Japanese version.,
dbl-055,Dragon Ball,medium,dbz,What superhero identity does Gohan adopt in high school?,The Great Saiyaman,Saiyaman X,The Golden Warrior,Captain Gohan,Great Saiyaman Saga.,
dbl-056,Dragon Ball,medium,dbz,Who is Gohan's high-school classmate and future wife?,Videl,Erasa,Bulma,Launch,Great Saiyaman Saga.,
dbl-057,Dragon Ball,medium,dbz,Which wizard revives Majin Buu?,Babidi,Bibidi,Dabura,Garlic Jr.,Buu Saga.,
dbl-058,Dragon Ball,medium,dbz,What are Goku and Vegeta called when fused with the Potara earrings?,Vegito,Gogeta,Gotenks,Kefla,Fusion Saga.,
dbl-059,Dragon Ball,medium,dbz,What is Gotenks's attack that fires exploding ghost copies of himself?,Super Ghost Kamikaze Attack,Galactic Donut,Big Tree Cannon,Kamikaze Ghost Rush,Fusion Saga.,
dbl-060,Dragon Ball,medium,dbz,Which transformation does Goku reveal for the first time against Majin Buu?,Super Saiyan 3,Super Saiyan 2,Super Saiyan God,Ultra Instinct,Majin Buu Saga.,
dbl-061,Dragon Ball,medium,dbz,Which attack finally destroys Kid Buu?,The Spirit Bomb,Final Flash,Kamehameha,Special Beam Cannon,Kid Buu Saga; powered by Earth's energy.,
dbl-062,Dragon Ball,medium,dbz,"At the end of Z, Goku leaves to train the reincarnation of Kid Buu, a boy named...?",Uub,Pan,Goten,Trunks,Final episode of Z.,
dbl-063,Dragon Ball,medium,super,Beerus comes to Earth searching for a warrior called the...?,Super Saiyan God,Legendary Super Saiyan,Ultra Instinct Saiyan,God of Destruction,Battle of Gods.,
dbl-064,Dragon Ball,medium,super movie,What new form does Frieza reveal after training for only four months?,Golden Frieza,Black Frieza,Ultimate Frieza,Mecha Frieza,Resurrection F.,
dbl-065,Dragon Ball,medium,super,"Hit, the assassin from Universe 6, fights using...?",Time-Skip,Instant Transmission,Body Change,Hakai,Universe 6 Saga.,
dbl-066,Dragon Ball,medium,super,Goku Black is actually...?,Zamasu in Goku's body,An android copy of Goku,Goku from another timeline,Bardock,Future Trunks Saga.,
dbl-067,Dragon Ball,medium,super,Who is the strongest fighter of Universe 11 at the Tournament of Power?,Jiren,Toppo,Dyspo,Hit,Universe Survival Saga.,
dbl-068,Dragon Ball,medium,super,What is the fusion of Kale and Caulifla called?,Kefla,Kalifla,Caulikale,Vegito,Universe Survival Saga.,
dbl-069,Dragon Ball,medium,super,Who is the childlike king of everything who erases losing universes?,Zeno,The Grand Priest,Beerus,Whis,Universe Survival Saga.,
dbl-070,Dragon Ball,medium,super movie,"In Dragon Ball Super: Broly, who do Goku and Vegeta fuse into to stop Broly?",Gogeta,Vegito,Gotenks,Kefla,Dragon Ball Super: Broly (2018).,
dbl-071,Dragon Ball,medium,super movie,"In Dragon Ball Super: Super Hero, Piccolo unlocks a new form called...?",Orange Piccolo,Super Namekian,Piccolo Beast,Green Piccolo,Dragon Ball Super: Super Hero (2022).,
dbl-072,Dragon Ball,medium,super movie,"In Dragon Ball Super: Super Hero, Gohan's new transformation is called...?",Gohan Beast,Ultimate Gohan,Super Saiyan 5,Gohan Blanco,Dragon Ball Super: Super Hero (2022).,
dbl-073,Dragon Ball,medium,dbz movie,"In Cooler's Revenge, Cooler is Frieza's...?",Older brother,Father,Clone,Son,Dragon Ball Z: Cooler's Revenge.,
dbl-074,Dragon Ball,medium,db,What is Yamcha's signature attack?,Wolf Fang Fist,Tri-Beam,Dodon Ray,Masenko,Dragon Ball.,
dbl-075,Dragon Ball,medium,dbz,What is the yellow energy wave Gohan learned from Piccolo?,Masenko,Kamehameha,Galick Gun,Light Grenade,Saiyan Saga.,
dbl-076,Dragon Ball,medium,dbz,"What is Vegeta's ultimate attack, used against Perfect Cell?",Final Flash,Galick Gun,Big Bang Attack,Final Explosion,Perfect Cell Saga.,
dbl-077,Dragon Ball,medium,dbz,What does Piccolo remove when he decides to fight seriously?,His weighted cape and turban,His antennae,His gloves,His boots,Throughout Z.,
dbl-078,Dragon Ball,medium,dbz,How is Frieza cut in half on Namek?,By his own energy disc,By Goku's Kamehameha,By Trunks's sword,By Piccolo's Special Beam Cannon,Frieza Saga.,
dbl-079,Dragon Ball,hard,dbz,What is the name of Frieza's father?,King Cold,Cooler,King Vegeta,Chilled,Trunks Saga.,
dbl-080,Dragon Ball,hard,dbz,"Who is the Supreme Kai's bodyguard, who later fuses with him?",Kibito,Dende,Elder Kai,Mr. Popo,Buu Saga.,
dbl-081,Dragon Ball,hard,dbz,Who performs the ritual that unlocks Gohan's hidden power before he fights Buu?,Elder Kai,Supreme Kai,Kibito,King Kai,Fusion Saga.,
dbl-082,Dragon Ball,hard,dbz,"Dabura, King of the Demon Realm, turns people to stone with his...?",Spit,Eyes,Sword,Voice,Buu Saga; Krillin and Piccolo get petrified.,
dbl-083,Dragon Ball,hard,dbz,Which Ginyu Force member can briefly stop time?,Guldo,Jeice,Burter,Recoome,Namek Saga.,
dbl-084,Dragon Ball,hard,dbz movie,Which movie villain is known as the Legendary Super Saiyan?,Broly,Turles,Bojack,Lord Slug,"Dragon Ball Z: Broly, the Legendary Super Saiyan (1993).",
dbl-085,Dragon Ball,hard,dbz movie,The movie villain Lord Slug belongs to which race?,Namekian,Saiyan,Frieza's race,Tuffle,Dragon Ball Z: Lord Slug.,
dbl-086,Dragon Ball,hard,db,The Power Pole can extend to link Korin's Tower with...?,Kami's Lookout,Kame House,The moon,Capsule Corp.,"Dragon Ball, Piccolo Jr. Saga.",
dbl-087,Dragon Ball,hard,db,Goku marries Chi-Chi at the end of which World Martial Arts Tournament?,The 23rd,The 21st,The 22nd,The 25th,Piccolo Jr. Saga.,
dbl-088,Dragon Ball,hard,super,"Champa, the God of Destruction of Universe 6, is Beerus's...?",Twin brother,Father,Student,Rival from Universe 9,Universe 6 Saga.,
dbl-089,Dragon Ball,hard,super,Who is the angel attendant of Universe 6?,Vados,Whis,Marcarita,The Grand Priest,Universe 6 Saga.,
dbl-090,Dragon Ball,hard,super,Zamasu's scheme to wipe out every mortal is called the...?,Zero Mortals Plan,Project Zero,Mortal Erasure,The Divine Cleansing,Future Trunks Saga.,
dbl-091,Dragon Ball,hard,super movie,"What is the giant, unfinished bio-android at the end of Super Hero called?",Cell Max,Cell Jr.,Cell Prime,Gamma 3,Dragon Ball Super: Super Hero (2022).,
dbl-092,Dragon Ball,hard,dbz movie,Which movie villain wished for immortality and was trapped in the Dead Zone?,Garlic Jr.,Turles,Dr. Wheelo,Bojack,Dragon Ball Z: Dead Zone.,
dbl-093,Dragon Ball,hard,super,Where is the Tournament of Power held?,The World of Void,The Sacred World of the Kais,Beerus's planet,The Null Realm on Earth,Universe Survival Saga.,
dbl-094,Dragon Ball,hard,dbz,Who cuts off Great Ape Vegeta's tail during the Saiyan Saga?,Yajirobe,Krillin,Gohan,Goku,Saiyan Saga.,
dbl-095,Dragon Ball,hard,db,Launch switches personalities whenever she...?,Sneezes,Sleeps,Gets angry,Sees blood,Dragon Ball.,
dbl-096,Dragon Ball,hard,db,Who wins the 21st World Martial Arts Tournament by beating Goku in the final?,"Jackie Chun, Master Roshi in disguise",Krillin,Yamcha,Nam,Tournament Saga.,
dbl-097,Dragon Ball,hard,db,Kami and King Piccolo were originally...?,"The same Namekian, split in two",Brothers,Master and student,Rivals from Namek,Piccolo Jr. Saga.,
dbl-098,Dragon Ball,hard,dbz,Which Namekian warrior fuses with Piccolo on Namek?,Nail,Dende,Guru,Moori,Frieza Saga.,
dbl-099,Dragon Ball,hard,dbz movie,"In Wrath of the Dragon, which technique does Goku use to destroy Hirudegarn?",Dragon Fist,Spirit Bomb,Kamehameha,Instant Kamehameha,Dragon Ball Z: Wrath of the Dragon.,
dbl-100,Dragon Ball,hard,dbz movie,"In the TV special Bardock: The Father of Goku, Bardock faces which villain alone?",Frieza,Cooler,King Cold,Chilled,Bardock: The Father of Goku.,
ygo-001,Yu-Gi-Oh! Duel Monsters,easy,,What ancient artifact does Yugi Muto wear around his neck?,The Millennium Puzzle,The Millennium Ring,The Millennium Eye,The Millennium Rod,"Yu-Gi-Oh! Duel Monsters, episode 1.",
ygo-002,Yu-Gi-Oh! Duel Monsters,easy,,What is Seto Kaiba's signature monster?,Blue-Eyes White Dragon,Red-Eyes Black Dragon,Dark Magician,Summoned Skull,Episode 1.,
ygo-003,Yu-Gi-Oh! Duel Monsters,easy,,Which monster is Yugi's signature card?,Dark Magician,Blue-Eyes White Dragon,Exodia,Kuriboh,Throughout the series.,
ygo-004,Yu-Gi-Oh! Duel Monsters,easy,,What is Joey Wheeler's signature dragon?,Red-Eyes Black Dragon,Blue-Eyes White Dragon,Harpie's Pet Dragon,Curse of Dragon,Won from Rex Raptor in Duelist Kingdom.,
ygo-005,Yu-Gi-Oh! Duel Monsters,easy,,Who hosts the Duelist Kingdom tournament?,Maximillion Pegasus,Seto Kaiba,Marik Ishtar,Solomon Muto,Duelist Kingdom arc.,
ygo-006,Yu-Gi-Oh! Duel Monsters,easy,,Which tournament does Seto Kaiba host across his home city?,Battle City,Duelist Kingdom,The Grand Championship,The Ceremonial Duel,Battle City arc.,
ygo-007,Yu-Gi-Oh! Duel Monsters,easy,,How many card pieces make up Exodia the Forbidden One?,Five,Three,Seven,Four,Episode 1.,
ygo-008,Yu-Gi-Oh! Duel Monsters,easy,,Which of Yugi's friends dreams of becoming a professional dancer?,Tea Gardner,Mai Valentine,Serenity Wheeler,Rebecca Hawkins,Tea's dream of studying dance in New York.,
ygo-009,Yu-Gi-Oh! Duel Monsters,easy,,What does Yugi's grandpa Solomon Muto run?,A game shop,A museum,A card factory,A dojo,The Kame Game shop.,
ygo-010,Yu-Gi-Oh! Duel Monsters,medium,,How many Egyptian God Cards are there?,Three,Seven,Five,One,"Slifer, Obelisk and Ra.",
ygo-011,Yu-Gi-Oh! Duel Monsters,medium,,Which Egyptian God Card does Kaiba receive from Ishizu Ishtar?,Obelisk the Tormentor,Slifer the Sky Dragon,The Winged Dragon of Ra,Exodia,Start of the Battle City arc.,
ygo-012,Yu-Gi-Oh! Duel Monsters,medium,,Who wields the Millennium Rod during Battle City?,Marik Ishtar,Ishizu Ishtar,Odion,Bakura,Battle City arc.,
ygo-013,Yu-Gi-Oh! Duel Monsters,medium,,What does Weevil Underwood throw overboard on the boat to Duelist Kingdom?,Yugi's Exodia cards,Joey's Red-Eyes,The Millennium Puzzle,Kaiba's Blue-Eyes,Duelist Kingdom arc.,
ygo-014,Yu-Gi-Oh! Duel Monsters,medium,,Joey enters Duelist Kingdom hoping to win the prize money to pay for...?,His sister Serenity's eye surgery,His father's debts,A new deck,Tea's dance school,Duelist Kingdom arc.,
ygo-015,Yu-Gi-Oh! Duel Monsters,medium,,Which card belonging to Yugi's grandpa did Kaiba tear up?,A Blue-Eyes White Dragon,Exodia's head,Dark Magician,Kuriboh,Episode 1; the fourth Blue-Eyes.,
ygo-016,Yu-Gi-Oh! Duel Monsters,medium,,What is the name of the Pharaoh whose spirit lives in the Millennium Puzzle?,Atem,Seto,Aknadin,Mahad,Revealed in the Dawn of the Duel arc.,
ygo-017,Yu-Gi-Oh! Duel Monsters,medium,,Who created the game Dungeon Dice Monsters?,Duke Devlin,Maximillion Pegasus,Seto Kaiba,Solomon Muto,Dungeon Dice Monsters arc.,
ygo-018,Yu-Gi-Oh! Duel Monsters,medium,,Which card did Yugi give Joey that gambles on a 'time roulette'?,Time Wizard,Baby Dragon,Flame Swordsman,Graceful Dice,Early in the Duelist Kingdom arc.,
ygo-019,Yu-Gi-Oh! Duel Monsters,medium,,How many Blue-Eyes White Dragon cards does Kaiba own?,Three,One,Four,Five,Three; the fourth was torn up in episode 1.,
ygo-020,Yu-Gi-Oh! Duel Monsters,hard,,How many Millennium Items are there in total?,Seven,Five,Eight,Three,"Puzzle, Eye, Ring, Rod, Necklace, Key and Scale.",
